,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
498,50,0.3,moons,logistic,0.8567777777777777,0.002999999999999981,0.8549999999999999,0.02376972864800942,0.001777777777777878,0.1
499,50,0.3,moons,logistic,0.8621111111111113,0.001681416216713485,0.861,0.015779733838059515,0.0011111111111112848,0.5
500,50,0.3,moons,logistic,0.8626666666666665,0.0017356110390903462,0.8599999999999998,0.016124515496597113,0.002666666666666706,1.0
501,50,0.3,moons,logistic,0.8618888888888889,0.00157527187541752,0.861,0.01757839583124696,0.000888888888888939,10.0
502,50,0.3,moons,logistic,0.8616666666666667,0.0013379549531991365,0.861,0.01757839583124696,0.0006666666666667043,100.0
503,50,0.3,moons,svm,0.7984444444444444,0.004042978977480063,0.796,0.027276363393971697,0.0024444444444443603,0.001
504,50,0.3,moons,svm,0.8397777777777776,0.0046560726310571,0.8400000000000001,0.02932575659723035,-0.0002222222222224568,0.005
505,50,0.3,moons,svm,0.8485555555555557,0.00403839596564139,0.85,0.021908902300206638,-0.0014444444444442484,0.01
506,50,0.3,moons,svm,0.8625555555555555,0.00298349368491056,0.8619999999999999,0.018330302779823376,0.0005555555555556424,0.05
507,50,0.3,moons,svm,0.8803333333333333,0.002333333333333324,0.877,0.021470910553583907,0.0033333333333332993,0.1
508,50,0.3,moons,svm,0.9273333333333333,0.0029481109247603485,0.925,0.018027756377319928,0.0023333333333332984,0.5
509,50,0.3,moons,svm,0.944888888888889,0.003111111111111117,0.9419999999999998,0.02561249694973138,0.002888888888889163,5.0
510,50,0.3,moons,svm,0.9470000000000001,0.002723922371584728,0.9399999999999998,0.028284271247461888,0.007000000000000228,10.0
511,50,0.3,moons,svm,0.9533333333333334,0.0035486043161491792,0.9369999999999999,0.025317977802344304,0.016333333333333422,50.0
512,50,0.4,circles,logistic,0.5064444444444445,0.0040307460327149176,0.441,0.034190641994557514,0.06544444444444447,0.001
513,50,0.4,circles,logistic,0.5073333333333333,0.01894240784100096,0.44700000000000006,0.056577380639262535,0.06033333333333324,0.01
514,50,0.4,circles,logistic,0.5097777777777777,0.02209295737179835,0.4600000000000001,0.054589376255824745,0.04977777777777759,0.1
515,50,0.4,circles,logistic,0.5088888888888888,0.021146169720002744,0.4600000000000001,0.05000000000000002,0.04888888888888876,0.5
